Store,bus,carrier,e_nom_extendable,sign
DK home battery,DK home battery,home battery,True,1.0
EE home battery,EE home battery,home battery,True,1.0
ES home battery,ES home battery,home battery,True,1.0
FI home battery,FI home battery,home battery,True,1.0
FR home battery,FR home battery,home battery,True,1.0
GB home battery,GB home battery,home battery,True,1.0
GBI home battery,GBI home battery,home battery,True,1.0
GR home battery,GR home battery,home battery,True,1.0
HR home battery,HR home battery,home battery,True,1.0
HU home battery,HU home battery,home battery,True,1.0
IE home battery,IE home battery,home battery,True,1.0
IT home battery,IT home battery,home battery,True,1.0
LT home battery,LT home battery,home battery,True,1.0
LU home battery,LU home battery,home battery,True,1.0
LV home battery,LV home battery,home battery,True,1.0
ME home battery,ME home battery,home battery,True,1.0
MK home battery,MK home battery,home battery,True,1.0
NL home battery,NL home battery,home battery,True,1.0
NO home battery,NO home battery,home battery,True,1.0
PL home battery,PL home battery,home battery,True,1.0
PT home battery,PT home battery,home battery,True,1.0
RO home battery,RO home battery,home battery,True,1.0
RS home battery,RS home battery,home battery,True,1.0
SE home battery,SE home battery,home battery,True,1.0
SI home battery,SI home battery,home battery,True,1.0
SK home battery,SK home battery,home battery,True,1.0
XK home battery,XK home battery,home battery,True,1.0
AL rural water tanks,AL rural water tanks,rural water tanks,True,1.0
AL urban decentral water tanks,AL urban decentral water tanks,urban decentral water tanks,True,1.0
AT rural water tanks,AT rural water tanks,rural water tanks,True,1.0
AT urban decentral water tanks,AT urban decentral water tanks,urban decentral water tanks,True,1.0
BA rural water tanks,BA rural water tanks,rural water tanks,True,1.0
BA urban decentral water tanks,BA urban decentral water tanks,urban decentral water tanks,True,1.0
BE rural water tanks,BE rural water tanks,rural water tanks,True,1.0
BE urban decentral water tanks,BE urban decentral water tanks,urban decentral water tanks,True,1.0
BG rural water tanks,BG rural water tanks,rural water tanks,True,1.0
BG urban decentral water tanks,BG urban decentral water tanks,urban decentral water tanks,True,1.0
CH rural water tanks,CH rural water tanks,rural water tanks,True,1.0
CH urban decentral water tanks,CH urban decentral water tanks,urban decentral water tanks,True,1.0
CZ rural water tanks,CZ rural water tanks,rural water tanks,True,1.0
CZ urban decentral water tanks,CZ urban decentral water tanks,urban decentral water tanks,True,1.0
DE rural water tanks,DE rural water tanks,rural water tanks,True,1.0
DE urban decentral water tanks,DE urban decentral water tanks,urban decentral water tanks,True,1.0
DK rural water tanks,DK rural water tanks,rural water tanks,True,1.0
DK urban decentral water tanks,DK urban decentral water tanks,urban decentral water tanks,True,1.0
EE rural water tanks,EE rural water tanks,rural water tanks,True,1.0
EE urban decentral water tanks,EE urban decentral water tanks,urban decentral water tanks,True,1.0
ES rural water tanks,ES rural water tanks,rural water tanks,True,1.0
ES urban decentral water tanks,ES urban decentral water tanks,urban decentral water tanks,True,1.0
FI rural water tanks,FI rural water tanks,rural water tanks,True,1.0
FI urban decentral water tanks,FI urban decentral water tanks,urban decentral water tanks,True,1.0
FR rural water tanks,FR rural water tanks,rural water tanks,True,1.0
FR urban decentral water tanks,FR urban decentral water tanks,urban decentral water tanks,True,1.0
GB rural water tanks,GB rural water tanks,rural water tanks,True,1.0
GB urban decentral water tanks,GB urban decentral water tanks,urban decentral water tanks,True,1.0
GBI rural water tanks,GBI rural water tanks,rural water tanks,True,1.0
GBI urban decentral water tanks,GBI urban decentral water tanks,urban decentral water tanks,True,1.0
GR rural water tanks,GR rural water tanks,rural water tanks,True,1.0
GR urban decentral water tanks,GR urban decentral water tanks,urban decentral water tanks,True,1.0
HR rural water tanks,HR rural water tanks,rural water tanks,True,1.0
HR urban decentral water tanks,HR urban decentral water tanks,urban decentral water tanks,True,1.0
HU rural water tanks,HU rural water tanks,rural water tanks,True,1.0
HU urban decentral water tanks,HU urban decentral water tanks,urban decentral water tanks,True,1.0
IE rural water tanks,IE rural water tanks,rural water tanks,True,1.0
IE urban decentral water tanks,IE urban decentral water tanks,urban decentral water tanks,True,1.0
IT rural water tanks,IT rural water tanks,rural water tanks,True,1.0
IT urban decentral water tanks,IT urban decentral water tanks,urban decentral water tanks,True,1.0
LT rural water tanks,LT rural water tanks,rural water tanks,True,1.0
LT urban decentral water tanks,LT urban decentral water tanks,urban decentral water tanks,True,1.0
LU rural water tanks,LU rural water tanks,rural water tanks,True,1.0
LU urban decentral water tanks,LU urban decentral water tanks,urban decentral water tanks,True,1.0
LV rural water tanks,LV rural water tanks,rural water tanks,True,1.0
LV urban decentral water tanks,LV urban decentral water tanks,urban decentral water tanks,True,1.0
ME rural water tanks,ME rural water tanks,rural water tanks,True,1.0
