Link,bus0,bus1,carrier,p_nom_extendable,bus4,bus3,bus2
gas pipeline LV <-> LT,LV gas,LT gas,gas pipeline,False,,,LV
gas pipeline NL -> BE,NL gas,BE gas,gas pipeline,False,,,NL
gas pipeline NL -> DE,NL gas,DE gas,gas pipeline,False,,,NL
gas pipeline NL -> GB,NL gas,GB gas,gas pipeline,False,,,NL
gas pipeline NL -> NO,NL gas,NO gas,gas pipeline,False,,,NL
gas pipeline NL <-> DE,NL gas,DE gas,gas pipeline,False,,,NL
gas pipeline NL <-> GB,NL gas,GB gas,gas pipeline,False,,,NL
gas pipeline NO -> BE,NO gas,BE gas,gas pipeline,False,,,NO
gas pipeline NO -> DE,NO gas,DE gas,gas pipeline,False,,,NO
gas pipeline NO -> FR,NO gas,FR gas,gas pipeline,False,,,NO
gas pipeline NO -> GB,NO gas,GB gas,gas pipeline,False,,,NO
gas pipeline PL -> CZ,PL gas,CZ gas,gas pipeline,False,,,PL
gas pipeline PL -> DE,PL gas,DE gas,gas pipeline,False,,,PL
gas pipeline PL <-> DE,PL gas,DE gas,gas pipeline,False,,,PL
gas pipeline PT <-> ES,PT gas,ES gas,gas pipeline,False,,,PT
gas pipeline RS -> BA,RS gas,BA gas,gas pipeline,False,,,RS
gas pipeline SI -> HR,SI gas,HR gas,gas pipeline,False,,,SI
gas pipeline SK -> HU,SK gas,HU gas,gas pipeline,False,,,SK
gas pipeline SK <-> AT,SK gas,AT gas,gas pipeline,False,,,SK
gas pipeline SK <-> CZ,SK gas,CZ gas,gas pipeline,False,,,SK
gas pipeline new AL <-> MK,AL gas,MK gas,gas pipeline new,True,,,
gas pipeline new AL <-> GR,AL gas,GR gas,gas pipeline new,True,,,
gas pipeline new AT <-> SI,AT gas,SI gas,gas pipeline new,True,,,
gas pipeline new AT <-> CZ,AT gas,CZ gas,gas pipeline new,True,,,
gas pipeline new BA <-> ME,BA gas,ME gas,gas pipeline new,True,,,
gas pipeline new BA <-> HR,BA gas,HR gas,gas pipeline new,True,,,
gas pipeline new BE <-> LU,BE gas,LU gas,gas pipeline new,True,,,
gas pipeline new PL <-> SK,PL gas,SK gas,gas pipeline new,True,,,
gas pipeline new ES <-> PT,ES gas,PT gas,gas pipeline new,True,,,
gas pipeline new GB <-> IE,GB gas,IE gas,gas pipeline new,True,,,
gas pipeline new LT <-> PL,LT gas,PL gas,gas pipeline new,True,,,
gas pipeline new BG <-> MK,BG gas,MK gas,gas pipeline new,True,,,
gas pipeline new BG <-> RO,BG gas,RO gas,gas pipeline new,True,,,
gas pipeline new CH <-> IT,CH gas,IT gas,gas pipeline new,True,,,
gas pipeline new EE <-> LV,EE gas,LV gas,gas pipeline new,True,,,
gas pipeline new EE <-> FI,EE gas,FI gas,gas pipeline new,True,,,
gas pipeline new FI <-> SE,FI gas,SE gas,gas pipeline new,True,,,
gas pipeline new HR <-> SI,HR gas,SI gas,gas pipeline new,True,,,
gas pipeline new HU <-> SK,HU gas,SK gas,gas pipeline new,True,,,
gas pipeline new LT <-> LV,LT gas,LV gas,gas pipeline new,True,,,
gas pipeline new ME <-> XK,ME gas,XK gas,gas pipeline new,True,,,
gas pipeline new MK <-> XK,MK gas,XK gas,gas pipeline new,True,,,
gas pipeline new RS <-> XK,RS gas,XK gas,gas pipeline new,True,,,
H2 pipeline AL -> GR,AL H2,GR H2,H2 pipeline,True,,,AL
H2 pipeline AL -> IT,AL H2,IT H2,H2 pipeline,True,,,AL
H2 pipeline AL -> ME,AL H2,ME H2,H2 pipeline,True,,,AL
H2 pipeline AL -> MK,AL H2,MK H2,H2 pipeline,True,,,AL
H2 pipeline AL -> XK,AL H2,XK H2,H2 pipeline,True,,,AL
H2 pipeline AT -> CH,AT H2,CH H2,H2 pipeline,True,,,AT
H2 pipeline AT -> CZ,AT H2,CZ H2,H2 pipeline,True,,,AT
H2 pipeline AT -> DE,AT H2,DE H2,H2 pipeline,True,,,AT
H2 pipeline AT -> HU,AT H2,HU H2,H2 pipeline,True,,,AT
H2 pipeline AT -> IT,AT H2,IT H2,H2 pipeline,True,,,AT
H2 pipeline AT -> SI,AT H2,SI H2,H2 pipeline,True,,,AT
H2 pipeline AT -> SK,AT H2,SK H2,H2 pipeline,True,,,AT
H2 pipeline BA -> HR,BA H2,HR H2,H2 pipeline,True,,,BA
H2 pipeline BA -> ME,BA H2,ME H2,H2 pipeline,True,,,BA
H2 pipeline BA -> RS,BA H2,RS H2,H2 pipeline,True,,,BA
H2 pipeline BE -> DE,BE H2,DE H2,H2 pipeline,True,,,BE
